experiment,epoch,phase,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,setting
ResNet18_Imbalanced_NoMitigation,1,1,0.7266993742803493,0.8033598696169999,0.7055534269325884,1.133672728211037,0.6082794927016033,0.5998160745099346,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,2,1,0.34949627201631733,0.8970099667774086,0.8504829759668174,1.0230538979989257,0.6515912897822446,0.6496266734353104,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,3,1,0.2910498055194916,0.9099855826490315,0.8738147603142583,0.8975294610192599,0.6939459200765733,0.6945202520681268,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,4,2,0.15523748770673762,0.9484736413213816,0.9270100568020906,0.5413664550295171,0.869825317061498,0.8664807455486588,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,5,2,0.09303226743199598,0.9695355105622767,0.9512923309407328,0.65862358500011,0.8542713567839196,0.8493973333469833,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,6,2,0.06457800141794962,0.9781859211433586,0.9657527514937689,0.5316379297454268,0.8951902368987796,0.8932332232854069,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,7,2,0.05534455180074745,0.9825111264338996,0.9727998344997969,0.5663456804194599,0.897822445561139,0.8951968704608733,imbalanced_no_mitigation
ResNet18_Imbalanced_NoMitigation,8,2,0.049586417235558754,0.9847050711464929,0.9753984575230907,0.9675379276068823,0.8303421871261067,0.82447947350583,imbalanced_no_mitigation
ResNet18_Imbalanced_WeightedLoss,1,1,0.8867416590898678,0.7925155143233248,0.7240268338975229,1.0861761504367482,0.6216798277099784,0.6113756776010847,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,2,1,0.44033042823962715,0.8830314047514574,0.8323635755219068,1.009412461646181,0.6592486240727446,0.647558768224578,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,3,1,0.36683953086731913,0.8968845985081176,0.8487208777650755,0.9366297942081916,0.6982531706149797,0.6924442032124412,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,4,2,0.2109606383191017,0.937942706700934,0.9017948685550359,0.5516389508542903,0.8633644412538884,0.857538293504177,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,5,2,0.13282218758741426,0.961386573058359,0.9357091665016497,0.5965877550195695,0.871739650634123,0.8667291273325839,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,6,2,0.11612853598969787,0.967404249984329,0.9442989584648069,0.4991402580949016,0.869825317061498,0.8672782107614516,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,7,2,0.08473664224011189,0.9739233999874631,0.9550569403318473,0.45748879201041653,0.8832256520698731,0.8810446851695666,imbalanced_weighted_loss
ResNet18_Imbalanced_WeightedLoss,8,2,0.06552329385722143,0.9791261831630415,0.9638752922071265,0.4768623500370643,0.905240488155061,0.9020541184225396,imbalanced_weighted_loss
