epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.2845500326938317,0.5175956284153006,0.5000435332902226,1.3838283358706502,0.5285953577410863,0.5109362244340419
2,0.7893997823084639,0.7209289617486339,0.7096386075381723,1.2284754700397127,0.5821966977745873,0.5682918581477348
3,0.6565739540324185,0.7653551912568306,0.754524531662706,1.5137433564158027,0.5077769801387891,0.49201557728988254
4,0.6113948867555524,0.783551912568306,0.7727042459617773,1.2838273527348947,0.6216798277099784,0.5971803534509029
5,0.5688285883332862,0.7963934426229509,0.7859412904384409,1.2447219934723657,0.6532663316582915,0.6403777551309245
6,0.5225147109083791,0.8167213114754098,0.8068823012822948,0.944341318577093,0.663555874611151,0.652053299603319
7,0.508901479315888,0.8226229508196722,0.812443098601564,1.2064060714148426,0.6279014118210098,0.610054221961518
8,0.4959310938426054,0.8267213114754098,0.8172150129305068,1.1330398559342105,0.6396267049533381,0.6304663825506523
9,0.4847327644707727,0.8271038251366121,0.8182669537888729,0.9385407985925504,0.6956209619526202,0.6805335131666446
10,0.4355560709674502,0.8515300546448088,0.8435603418578455,0.8333676401779794,0.7111749222301986,0.706674205413102
11,0.4226442804036896,0.8544808743169399,0.8463691865718237,1.0569813475708096,0.691553003110792,0.6788856758666244
12,0.40746253148454137,0.8609289617486339,0.8535968294181119,0.9983718361857976,0.685810002392917,0.6733066071844952
13,0.3852096092570675,0.8685792349726776,0.8617267035909444,1.1474965540636495,0.6558985403206509,0.6442537991131398
14,0.3679330062996494,0.8753005464480874,0.868963719690977,1.0383830665828908,0.6870064608758076,0.6762863740689659
15,0.3706783781221004,0.8711475409836066,0.8654818327811302,0.953478943591313,0.6910744197176358,0.6910511090598389
